,RunId,iteration,Step,height,width,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy_distribution,legitimacy_param_normal_mean,legitimacy_param_normal_stddev,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters,international_aid,shock_amount,Quiescent,Active,Jailed
175,174,19,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,713,263,190
176,177,19,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1078,10,26
177,176,19,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,869,159,101
178,178,19,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1124,24,13
179,179,19,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1122,8,5
180,180,20,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,531,283,321
181,181,20,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,623,204,287
182,183,20,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,755,179,174
183,184,20,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,890,79,132
184,182,20,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,475,457,212
185,189,21,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,517,252,320
186,185,20,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,933,104,89
187,186,20,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1003,72,45
188,190,21,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,603,254,292
189,187,20,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1110,0,17
190,192,21,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,756,182,176
191,191,21,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,437,477,209
192,188,20,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1153,9,4
193,193,21,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,921,97,122
